date,wealth,count
2019-08-15,8.8,2112
2019-10-01,8.9,2126
2019-10-29,9.2,2152
2019-11-07,9.4,2165
2020-01-19,9.9,2198
2020-02-07,9.7,2168
2020-02-15,9.8,2168
2020-02-16,9.8,2168
2020-02-17,9.8,2167
2020-02-18,9.8,2167
2020-02-19,9.8,2170
2020-02-20,9.8,2171
2020-02-21,9.8,2171
2020-02-22,9.7,2170
2020-02-23,9.7,2166
2020-02-24,9.7,2166
2020-02-25,9.6,2166
2020-02-26,9.4,2151
2020-02-27,9.3,2145
2020-02-28,9.2,2133
2020-02-29,9.1,2105
2020-03-01,9.1,2103
2020-03-02,9.2,2103
2020-03-03,9.3,2118
2020-03-04,9.4,2128
2020-03-05,9.4,2129
2020-03-06,9.3,2128
2020-03-07,9.2,2118
2020-03-08,9.2,2118
2020-03-09,9.0,2120
2020-03-10,8.9,2084
2020-03-11,8.8,2082
2020-03-12,8.4,2059
2020-03-13,8.3,2013
2020-03-14,8.4,2016
2020-03-15,8.4,2016
2020-03-16,8.1,2016
2020-03-17,8.0,1967
2020-03-18,7.9,1966
2020-03-19,7.8,1932
2020-03-20,7.8,1928
2020-03-21,7.9,1946
2020-03-22,7.9,1946
2020-03-23,7.8,1946
2020-03-24,7.7,1908
2020-03-25,8.0,1944
2020-03-26,8.1,1962
2020-03-27,8.3,1976
2020-03-28,8.2,1973
2020-03-29,8.2,1973
2020-03-30,8.2,1973
2020-03-31,8.3,1975
2020-04-01,8.3,1980
2020-04-02,8.1,1967
2020-04-03,8.2,1969
2020-04-04,8.1,1959
2020-04-05,8.1,1959
2020-04-06,8.1,1959
2020-04-07,8.4,1975
2020-04-08,8.8,2152
2020-04-09,8.8,2150
2020-04-10,8.9,2163
2020-04-11,8.9,2163
2020-04-12,8.9,2163
2020-04-13,8.9,2163
2020-04-14,8.9,2155
2020-04-15,8.9,2171
2020-04-16,8.9,2161
2020-04-17,9.0,2158
2020-04-18,9.0,2168
2020-04-19,9.0,2168
2020-04-20,9.0,2168
2020-04-21,8.9,2168
2020-04-23,8.9,2161
2020-04-24,8.9,2160
2020-04-25,8.9,2156
2020-04-26,8.9,2156
2020-04-27,9.0,2156
2020-04-28,9.0,2169
2020-04-29,9.1,2175
2020-04-30,9.2,2192
2020-05-01,9.2,2195
2020-05-02,9.1,2182
2020-05-03,9.1,2182
2020-05-04,9.1,2182
2020-05-05,9.1,2172
2020-05-06,9.1,2172
2020-05-07,9.1,2170
2020-05-08,9.1,2170
2020-05-09,9.2,2186
2020-05-10,9.2,2186
2020-05-11,9.2,2186
2020-05-12,9.2,2177
2020-05-13,9.2,2183
2020-05-14,9.1,2181
2020-05-15,9.1,2166
2020-05-16,9.1,2171
2020-05-17,9.1,2171
2020-05-18,9.2,2171
2020-05-19,9.2,2178
2020-05-20,9.3,2187
2020-05-21,9.3,2190
2020-05-22,9.3,2189
2020-05-23,9.2,2175
2020-05-24,9.2,2175
2020-05-25,9.2,2175
2020-05-26,9.3,2175
2020-05-27,9.4,2195
2020-05-28,9.4,2201
2020-05-29,9.5,2200
2020-05-30,9.5,2201
2020-05-31,9.5,2201
2020-06-01,9.6,2201
2020-06-02,9.6,2212
2020-06-03,9.8,2223
2020-06-04,9.8,2243
2020-06-05,9.9,2243
2020-06-06,9.9,2255
2020-06-07,9.9,2255
2020-06-08,10.0,2253
2020-06-09,10.0,2257
2020-06-10,10.0,2255
2020-06-11,9.8,2250
2020-06-12,9.8,2234
2020-06-13,9.7,2236
2020-06-14,9.7,2236
2020-06-15,9.7,2236
2020-06-16,9.8,2224
2020-06-17,9.8,2233
2020-06-18,9.8,2231
2020-06-19,9.9,2233
2020-06-20,9.9,2233
2020-06-21,9.9,2237
2020-06-22,9.9,2237
2020-06-23,9.9,2237
2020-06-24,9.9,2240
2020-06-25,9.9,2235
2020-06-26,9.8,2231
2020-06-27,9.8,2233
2020-06-28,9.8,2233
